Name,CO2,H2O,x,y,z
NEXVET_w_CO2_H2O_1,1,1,1,1,1
NEXVET_w_CO2_H2O_2,1,1,1,1,1
NEXVET_w_CO2_H2O_3,1,1,1,1,1
NEXVET_w_CO2_H2O_4,1,1,1,1,1
POFSIN_w_CO2_H2O_1,1,1,1,1,1
POFSIN_w_CO2_H2O_2,1,1,1,1,1
POFSIN_w_CO2_H2O_3,1,1,1,1,1
POFSIN_w_CO2_H2O_4,1,1,1,1,1
OZULAY_w_CO2_H2O_1,1,1,1,1,1
OZULAY_w_CO2_H2O_2,1,1,1,1,1
OZULAY_w_CO2_H2O_3,1,1,1,1,1
OZULAY_w_CO2_H2O_4,1,1,1,1,1
OZULAY_w_CO2_H2O_5,1,1,1,1,1
OZULAY_w_CO2_H2O_6,1,1,1,1,1
REGJIW02_w_CO2_H2O_1,1,1,2,1,1
REGJIW02_w_CO2_H2O_2,1,1,2,1,1
REGJIW02_w_CO2_H2O_3,1,1,1,1,1
REGJIW02_w_CO2_H2O_4,1,1,2,1,1
REGJIW02_w_CO2_H2O_5,1,1,2,1,1
REGJIW02_w_CO2_H2O_random_1,1,1,2,1,1
REGJIW02_w_CO2_H2O_random_2,1,1,2,1,1
AVIMOI_w_CO2_H2O_1,1,1,1,1,1
AVIMOI_w_CO2_H2O_2,1,1,1,1,1
AVIMOI_w_CO2_H2O_3,1,1,1,1,1
AVIMOI_w_CO2_H2O_4,1,1,1,1,1
AVIMOI_w_CO2_H2O_random_1,1,1,1,1,1
AVIMOI_w_CO2_H2O_random_2,1,1,1,1,1
VUQKAU01_w_CO2_H2O_1,1,1,1,1,1
VUQKAU01_w_CO2_H2O_2,1,1,1,1,1
VUQKAU01_w_CO2_H2O_3,1,1,1,1,1
VUQKAU01_w_CO2_H2O_4,1,1,1,1,1
VUQKAU01_w_CO2_H2O_5,1,1,1,1,1
VUQKAU01_w_CO2_H2O_6,1,1,1,1,1
VUQKAU01_w_CO2_H2O_random_1,1,1,1,1,1
VUQKAU01_w_CO2_H2O_random_2,1,1,1,1,1
IBARUA_w_CO2_H2O_1,1,1,1,1,1
IBARUA_w_CO2_H2O_2,1,1,1,1,1
IBARUA_w_CO2_H2O_3,1,1,1,1,1
IBARUA_w_CO2_H2O_4,1,1,1,1,1
IBARUA_w_CO2_H2O_5,1,1,1,1,1
IBARUA_w_CO2_H2O_6,1,1,1,1,1
IBARUA_w_CO2_H2O_random_1,1,1,1,1,1
IBARUA_w_CO2_H2O_random_2,1,1,1,1,1
GOSBOH_w_CO2_H2O_1,1,1,1,1,1
GOSBOH_w_CO2_H2O_2,1,1,1,1,1
GOSBOH_w_CO2_H2O_3,1,1,1,1,1
GOSBOH_w_CO2_H2O_4,1,1,1,1,1
GOSBOH_w_CO2_H2O_5,1,1,1,1,1
GOSBOH_w_CO2_H2O_random_1,1,1,1,1,1
GOSBOH_w_CO2_H2O_random_2,1,1,1,1,1
VOXQOQ_w_CO2_H2O_1,1,1,1,1,1
